"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Tyler Glasnow","Pirates","2","7","0","15","13","62.0","8.13","6.39","1.89",".358","60.7 %","43.2 %","18.1 %","7.69","6.30","5.64","-0.6","14374"
"Travis Wood","- - -","4","7","0","39","14","94.0","6.22","4.31","1.82",".325","63.6 %","35.6 %","14.0 %","6.80","5.90","5.85","-0.6","9884"
"Junior Guerra","Brewers","1","4","0","21","14","70.1","8.57","5.50","2.30",".236","77.3 %","33.5 %","20.9 %","5.12","6.58","5.43","-0.6","5702"
"David Holmberg","White Sox","2","4","0","37","7","57.2","5.15","5.31","1.87",".273","76.6 %","42.9 %","15.2 %","4.68","6.80","6.53","-0.7","7725"
"Bronson Arroyo","Reds","3","6","0","14","14","71.0","5.70","2.41","2.92",".305","67.6 %","30.4 %","19.0 %","7.35","6.99","5.81","-0.8","978"
"Matt Harvey","Mets","5","7","0","19","18","92.2","6.51","4.56","2.04",".307","69.6 %","43.0 %","20.6 %","6.70","6.37","5.39","-0.8","11713"
"Chris Smith","Athletics","0","4","0","14","9","55.2","5.01","3.56","2.59",".244","62.7 %","36.9 %","19.0 %","6.79","7.02","5.97","-0.8","4544"
"Sam Dyson","- - -","4","10","14","55","0","54.2","5.60","4.94","1.32",".319","66.4 %","63.0 %","21.1 %","6.09","5.63","4.96","-0.9","11710"
"Derek Holland","White Sox","7","14","0","29","26","135.0","6.93","5.00","2.07",".306","68.0 %","37.7 %","17.6 %","6.20","6.45","5.78","-0.9","4141"
"Mike Pelfrey","White Sox","3","12","0","34","21","120.0","5.93","4.65","1.88",".276","68.3 %","50.3 %","18.7 %","5.93","6.35","5.63","-1.0","5203"
"Chris Tillman","Orioles","1","7","0","24","19","93.0","6.10","4.94","2.32",".334","64.2 %","39.5 %","20.0 %","7.84","6.93","5.87","-1.0","5279"
"Dylan Covey","White Sox","0","7","0","18","12","70.0","5.27","4.37","2.57",".296","64.4 %","48.5 %","24.7 %","7.71","7.20","5.54","-1.1","14825"
"Chris Beck","White Sox","2","1","0","57","0","64.2","5.85","4.73","2.23",".288","71.1 %","40.4 %","19.5 %","6.40","6.84","5.88","-1.2","13418"
"Amir Garrett","Reds","3","8","0","16","14","70.2","8.02","5.09","2.93",".264","66.8 %","43.4 %","28.4 %","7.39","7.39","5.20","-1.2","14375"
