Away True Probability (Close),Away True Line (Close),,Away Implied Probability (Close),Away Line (Close),Away True Probability (Open),Away True Line (Open),,Away Implied Probability (Open),Away Line (Open),Away,Away Score,-,Date,-,Home Score,Home,Home Line (Open),Home Implied Probability (Open),,Home True Line (Open),Home True Probability (Open),Home Line (Close),Home Implied Probability (Close),,Home True Line (Close),Home True Probability (Close)
46.21%,+116,102.55%,47.39%,+111,42.85%,+133,102.37%,43.86%,+128,Minnesota Wild,3,,9-Nov,,0,Montreal Canadiens,-141,58.51%,102.37%, -133,57.15%,-123,55.16%,102.55%, -116,53.79%
32.43%,+208,102.45%,33.22%,+201,31.99%,+213,102.48%,32.79%,+205,Arizona Coyotes,2,,9-Nov,SO,3,St. Louis Blues,-230,69.70%,102.48%, -213,68.01%,-225,69.23%,102.45%, -208,67.57%
39.51%,+153,102.46%,40.49%,+147,39.21%,+155,102.42%,40.16%,+149,Detroit Red Wings,3,,9-Nov,,6,Calgary Flames,-165,62.26%,102.42%, -155,60.79%,-163,61.98%,102.46%, -153,60.49%
45.20%,+121,102.44%,46.30%,+116,42.60%,+135,102.52%,43.67%,+129,Vancouver Canucks,1,,9-Nov,,4,Anaheim Ducks,-143,58.85%,102.52%, -135,57.40%,-128,56.14%,102.44%, -121,54.80%
44.33%,+126,102.54%,45.45%,+120,43.76%,+129,102.47%,44.84%,+123,Tampa Bay Lightning,5,,9-Nov,,2,Los Angeles Kings,-136,57.63%,102.47%, -129,56.24%,-133,57.08%,102.54%, -126,55.67%
51.16%, -105,102.38%,52.38%,-110,46.73%,+114,102.39%,47.85%,+109,Florida Panthers,4,,10-Nov,,1,Buffalo Sabres,-120,54.55%,102.39%, -114,53.27%,+100,50.00%,102.38%,+105,48.84%
44.33%,+126,102.54%,45.45%,+120,41.39%,+142,102.37%,42.37%,+136,Boston Bruins,2,,10-Nov,OT,3,Toronto Maple Leafs,-150,60.00%,102.37%, -142,58.61%,-133,57.08%,102.54%, -126,55.67%
52.40%, -110,102.48%,53.70%,-116,45.80%,+118,102.50%,46.95%,+113,Pittsburgh Penguins,1,,10-Nov,,4,Washington Capitals,-125,55.56%,102.50%, -118,54.20%,+105,48.78%,102.48%,+110,47.60%
39.51%,+153,102.46%,40.49%,+147,41.39%,+142,102.37%,42.37%,+136,Carolina Hurricanes,3,,10-Nov,,1,Columbus Blue Jackets,-150,60.00%,102.37%, -142,58.61%,-163,61.98%,102.46%, -153,60.49%
45.20%,+121,102.44%,46.30%,+116,43.95%,+128,102.49%,45.05%,+122,New York Islanders,0,,10-Nov,,5,Dallas Stars,-135,57.45%,102.49%, -128,56.05%,-128,56.14%,102.44%, -121,54.80%
56.24%, -129,102.47%,57.63%,-136,53.27%, -114,102.39%,54.55%, -120,Ottawa Senators,4,OT,10-Nov,,3,Colorado Avalanche,+109,47.85%,102.39%,+114,46.73%,+123,44.84%,102.47%,+129,43.76%
54.20%, -118,102.50%,55.56%,-125,56.97%, -132,102.39%,58.33%, -140,Winnipeg Jets,2,,10-Nov,,5,Vegas Golden Knights,+127,44.05%,102.39%,+132,43.03%,+113,46.95%,102.50%,+118,45.80%
47.82%,+109,102.51%,49.02%,+104,46.52%,+115,102.37%,47.62%,+110,Edmonton Oilers,2,,11-Nov,,4,New York Rangers,-121,54.75%,102.37%, -115,53.48%,-115,53.49%,102.51%, -109,52.18%
43.21%,+131,102.41%,44.25%,+126,43.95%,+128,102.49%,45.05%,+122,Toronto Maple Leafs,4,,11-Nov,,1,Boston Bruins,-135,57.45%,102.49%, -128,56.05%,-139,58.16%,102.41%, -131,56.79%
32.98%,+203,102.44%,33.78%,+196,37.99%,+163,102.41%,38.91%,+157,Buffalo Sabres,1,,11-Nov,OT,2,Montreal Canadiens,-174,63.50%,102.41%, -163,62.01%,-219,68.65%,102.44%, -203,67.02%
43.03%,+132,102.39%,44.05%,+127,43.95%,+128,102.49%,45.05%,+122,Colorado Avalanche,3,,11-Nov,,4,Ottawa Senators,-135,57.45%,102.49%, -128,56.05%,-140,58.33%,102.39%, -132,56.97%
55.00%, -122,102.41%,56.33%,-129,51.16%, -105,102.38%,52.38%, -110,Columbus Blue Jackets,2,SO,11-Nov,,1,Detroit Red Wings,+100,50.00%,102.38%,+105,48.84%,+117,46.08%,102.41%,+122,45.00%
46.21%,+116,102.55%,47.39%,+111,44.60%,+124,102.37%,45.66%,+119,Florida Panthers,1,,11-Nov,,2,New Jersey Devils,-131,56.71%,102.37%, -124,55.40%,-123,55.16%,102.55%, -116,53.79%
46.21%,+116,102.55%,47.39%,+111,47.60%,+110,102.48%,48.78%,+105,Minnesota Wild,1,,11-Nov,,0,Philadelphia Flyers,-116,53.70%,102.48%, -110,52.40%,-123,55.16%,102.55%, -116,53.79%
43.03%,+132,102.39%,44.05%,+127,45.80%,+118,102.50%,46.95%,+113,Chicago Blackhawks,4,OT,11-Nov,,3,Carolina Hurricanes,-125,55.56%,102.50%, -118,54.20%,-140,58.33%,102.39%, -132,56.97%
39.36%,+154,102.44%,40.32%,+148,38.57%,+159,102.49%,39.53%,+153,New York Islanders,5,,11-Nov,,2,St. Louis Blues,-170,62.96%,102.49%, -159,61.43%,-164,62.12%,102.44%, -154,60.64%
43.39%,+130,102.43%,44.44%,+125,41.90%,+139,102.43%,42.92%,+133,Pittsburgh Penguins,4,,11-Nov,SO,5,Nashville Predators,-147,59.51%,102.43%, -139,58.10%,-138,57.98%,102.43%, -130,56.61%
36.03%,+178,102.42%,36.90%,+171,37.99%,+163,102.41%,38.91%,+157,Vancouver Canucks,0,,11-Nov,,5,San Jose Sharks,-174,63.50%,102.41%, -163,62.01%,-190,65.52%,102.42%, -178,63.97%
50.70%, -103,102.42%,51.92%,-108,55.20%, -123,102.39%,56.52%, -130,Winnipeg Jets,4,,11-Nov,,1,Arizona Coyotes,+118,45.87%,102.39%,+123,44.80%,-102,50.50%,102.42%,+103,49.30%
34.88%,+187,102.38%,35.71%,+180,37.67%,+165,102.51%,38.61%,+159,New Jersey Devils,7,,12-Nov,,5,Chicago Blackhawks,-177,63.90%,102.51%, -165,62.33%,-200,66.67%,102.38%, -187,65.12%
39.36%,+154,102.44%,40.32%,+148,39.98%,+150,102.52%,40.98%,+144,Edmonton Oilers,1,,12-Nov,SO,2,Washington Capitals,-160,61.54%,102.52%, -150,60.02%,-164,62.12%,102.44%, -154,60.64%
57.75%, -137,102.47%,59.18%,-145,57.40%, -135,102.52%,58.85%, -143,Tampa Bay Lightning,2,,12-Nov,,1,Anaheim Ducks,+129,43.67%,102.52%,+135,42.60%,+131,43.29%,102.47%,+137,42.25%
44.14%,+127,102.51%,45.25%,+121,42.60%,+135,102.52%,43.67%,+129,San Jose Sharks,2,,12-Nov,,1,Los Angeles Kings,-143,58.85%,102.52%, -135,57.40%,-134,57.26%,102.51%, -127,55.86%
45.60%,+119,102.48%,46.73%,+114,47.16%,+112,102.44%,48.31%,+107,Dallas Stars,1,,13-Nov,,5,Carolina Hurricanes,-118,54.13%,102.44%, -112,52.84%,-126,55.75%,102.48%, -119,54.40%
49.54%,+102,102.43%,50.74%,-103,48.27%,+107,102.56%,49.50%,+102,St. Louis Blues,4,,13-Nov,,7,Calgary Flames,-113,53.05%,102.56%, -107,51.73%,-107,51.69%,102.43%, -102,50.46%
31.99%,+213,102.48%,32.79%,+205,32.87%,+204,102.42%,33.67%,+197,Buffalo Sabres,4,,14-Nov,OT,5,Pittsburgh Penguins,-220,68.75%,102.42%, -204,67.13%,-230,69.70%,102.48%, -213,68.01%
49.54%,+102,102.43%,50.74%,-103,48.84%,+105,102.38%,50.00%,+100,Columbus Blue Jackets,2,OT,14-Nov,,1,Montreal Canadiens,-110,52.38%,102.38%, -105,51.16%,-107,51.69%,102.43%, -102,50.46%
45.40%,+120,102.46%,46.51%,+115,45.80%,+118,102.50%,46.95%,+113,Dallas Stars,3,,14-Nov,SO,4,Florida Panthers,-125,55.56%,102.50%, -118,54.20%,-127,55.95%,102.46%, -120,54.60%
44.33%,+126,102.54%,45.45%,+120,43.95%,+128,102.49%,45.05%,+122,Washington Capitals,3,,14-Nov,,6,Nashville Predators,-135,57.45%,102.49%, -128,56.05%,-133,57.08%,102.54%, -126,55.67%
41.56%,+141,102.39%,42.55%,+135,43.03%,+132,102.39%,44.05%,+127,Philadelphia Flyers,0,,14-Nov,,3,Minnesota Wild,-140,58.33%,102.39%, -132,56.97%,-149,59.84%,102.39%, -141,58.44%
36.67%,+173,102.51%,37.59%,+166,35.12%,+185,102.41%,35.97%,+178,Arizona Coyotes,1,,14-Nov,,4,Winnipeg Jets,-198,66.44%,102.41%, -185,64.88%,-185,64.91%,102.51%, -173,63.33%
37.25%,+168,102.45%,38.17%,+162,35.74%,+180,102.50%,36.63%,+173,Vegas Golden Knights,2,,14-Nov,,8,Edmonton Oilers,-193,65.87%,102.50%, -180,64.26%,-180,64.29%,102.45%, -168,62.75%
37.99%,+163,102.41%,38.91%,+157,35.74%,+180,102.50%,36.63%,+173,Vancouver Canucks,3,,14-Nov,,2,Los Angeles Kings,-193,65.87%,102.50%, -180,64.26%,-174,63.50%,102.41%, -163,62.01%
51.16%, -105,102.38%,52.38%,-110,50.00%,+100,102.44%,51.22%, -105,Calgary Flames,2,,15-Nov,,8,Detroit Red Wings,-105,51.22%,102.44%,+100,50.00%,+100,50.00%,102.38%,+105,48.84%
45.00%,+122,102.41%,46.08%,+117,45.20%,+121,102.44%,46.30%,+116,New York Rangers,3,,15-Nov,,6,Chicago Blackhawks,-128,56.14%,102.44%, -121,54.80%,-129,56.33%,102.41%, -122,55.00%
48.84%,+105,102.38%,50.00%,+100,46.21%,+116,102.55%,47.39%,+111,Boston Bruins,2,,15-Nov,,4,Anaheim Ducks,-123,55.16%,102.55%, -116,53.79%,-110,52.38%,102.38%, -105,51.16%
39.98%,+150,102.52%,40.98%,+144,38.42%,+160,102.47%,39.37%,+154,New Jersey Devils,0,,16-Nov,OT,1,Toronto Maple Leafs,-171,63.10%,102.47%, -160,61.58%,-160,61.54%,102.52%, -150,60.02%
48.27%,+107,102.56%,49.50%,+102,46.01%,+117,102.53%,47.17%,+112,Carolina Hurricanes,4,,16-Nov,,6,New York Islanders,-124,55.36%,102.53%, -117,53.99%,-113,53.05%,102.56%, -107,51.73%
35.49%,+182,102.47%,36.36%,+175,37.12%,+169,102.44%,38.02%,+163,Arizona Coyotes,5,,16-Nov,,4,Montreal Canadiens,-181,64.41%,102.44%, -169,62.88%,-195,66.10%,102.47%, -182,64.51%
52.62%, -111,102.46%,53.92%,-117,51.39%, -106,102.36%,52.61%, -111,Pittsburgh Penguins,3,,16-Nov,,1,Ottawa Senators,+101,49.75%,102.36%,+106,48.61%,+106,48.54%,102.46%,+111,47.38%
37.99%,+163,102.41%,38.91%,+157,39.51%,+153,102.46%,40.49%,+147,Dallas Stars,1,,16-Nov,,6,Tampa Bay Lightning,-163,61.98%,102.46%, -153,60.49%,-174,63.50%,102.41%, -163,62.01%
44.33%,+126,102.54%,45.45%,+120,45.80%,+118,102.50%,46.95%,+113,Nashville Predators,4,,16-Nov,,6,Minnesota Wild,-125,55.56%,102.50%, -118,54.20%,-133,57.08%,102.54%, -126,55.67%
46.94%,+113,102.41%,48.08%,+108,44.14%,+127,102.51%,45.25%,+121,Philadelphia Flyers,2,,16-Nov,SO,3,Winnipeg Jets,-134,57.26%,102.51%, -127,55.86%,-119,54.34%,102.41%, -113,53.06%
54.60%, -120,102.46%,55.95%,-127,52.40%, -110,102.48%,53.70%, -116,Washington Capitals,2,,16-Nov,,6,Colorado Avalanche,+105,48.78%,102.48%,+110,47.60%,+115,46.51%,102.46%,+120,45.40%
45.20%,+121,102.44%,46.30%,+116,46.52%,+115,102.37%,47.62%,+110,St. Louis Blues,4,,16-Nov,,1,Edmonton Oilers,-121,54.75%,102.37%, -115,53.48%,-128,56.14%,102.44%, -121,54.80%
42.25%,+137,102.47%,43.29%,+131,38.42%,+160,102.47%,39.37%,+154,Vegas Golden Knights,5,,16-Nov,,2,Vancouver Canucks,-171,63.10%,102.47%, -160,61.58%,-145,59.18%,102.47%, -137,57.75%
37.39%,+167,102.47%,38.31%,+161,38.57%,+159,102.49%,39.53%,+153,Boston Bruins,2,,16-Nov,,1,Los Angeles Kings,-170,62.96%,102.49%, -159,61.43%,-179,64.16%,102.47%, -167,62.61%
39.51%,+153,102.46%,40.49%,+147,43.03%,+132,102.39%,44.05%,+127,Florida Panthers,2,,16-Nov,,0,San Jose Sharks,-140,58.33%,102.39%, -132,56.97%,-163,61.98%,102.46%, -153,60.49%
40.67%,+146,102.45%,41.67%,+140,42.60%,+135,102.52%,43.67%,+129,New York Rangers,0,,17-Nov,,2,Columbus Blue Jackets,-143,58.85%,102.52%, -135,57.40%,-155,60.78%,102.45%, -146,59.33%
43.03%,+132,102.39%,44.05%,+127,40.67%,+146,102.45%,41.67%,+140,Buffalo Sabres,1,,17-Nov,,3,Detroit Red Wings,-155,60.78%,102.45%, -146,59.33%,-140,58.33%,102.39%, -132,56.97%
44.41%,+125,102.35%,45.45%,+120,45.20%,+121,102.44%,46.30%,+116,Calgary Flames,5,OT,18-Nov,,4,Philadelphia Flyers,-128,56.14%,102.44%, -121,54.80%,-132,56.90%,102.35%, -125,55.59%
48.27%,+107,102.56%,49.50%,+102,47.38%,+111,102.46%,48.54%,+106,Edmonton Oilers,3,,18-Nov,,6,Dallas Stars,-117,53.92%,102.46%, -111,52.62%,-113,53.05%,102.56%, -107,51.73%
37.53%,+166,102.49%,38.46%,+160,35.74%,+180,102.50%,36.63%,+173,Arizona Coyotes,3,OT,18-Nov,,2,Ottawa Senators,-193,65.87%,102.50%, -180,64.26%,-178,64.03%,102.49%, -166,62.47%
40.67%,+146,102.45%,41.67%,+140,40.67%,+146,102.45%,41.67%,+140,New Jersey Devils,2,,18-Nov,,5,Winnipeg Jets,-155,60.78%,102.45%, -146,59.33%,-155,60.78%,102.45%, -146,59.33%
45.40%,+120,102.46%,46.51%,+115,43.58%,+129,102.45%,44.64%,+124,Florida Panthers,0,,18-Nov,,4,Los Angeles Kings,-137,57.81%,102.45%, -129,56.42%,-127,55.95%,102.46%, -120,54.60%
59.65%, -148,102.41%,61.09%,-157,57.58%, -136,102.49%,59.02%, -144,Carolina Hurricanes,3,,18-Nov,,1,Buffalo Sabres,+130,43.48%,102.49%,+136,42.42%,+142,41.32%,102.41%,+148,40.35%
50.00%,+100,102.91%,51.46%,-106,50.00%,+100,102.44%,51.22%, -105,Toronto Maple Leafs,6,,18-Nov,,0,Montreal Canadiens,-105,51.22%,102.44%,+100,50.00%,-106,51.46%,102.91%,+100,50.00%
37.39%,+167,102.47%,38.31%,+161,37.25%,+168,102.45%,38.17%,+162,New York Islanders,5,,18-Nov,,3,Tampa Bay Lightning,-180,64.29%,102.45%, -168,62.75%,-179,64.16%,102.47%, -167,62.61%
41.90%,+139,102.43%,42.92%,+133,41.90%,+139,102.43%,42.92%,+133,Chicago Blackhawks,2,,18-Nov,,1,Pittsburgh Penguins,-147,59.51%,102.43%, -139,58.10%,-147,59.51%,102.43%, -139,58.10%
48.27%,+107,102.56%,49.50%,+102,44.80%,+123,102.39%,45.87%,+118,Minnesota Wild,1,,18-Nov,,3,Washington Capitals,-130,56.52%,102.39%, -123,55.20%,-113,53.05%,102.56%, -107,51.73%
34.26%,+192,102.41%,35.09%,+185,37.25%,+168,102.45%,38.17%,+162,Colorado Avalanche,2,,18-Nov,,5,Nashville Predators,-180,64.29%,102.45%, -168,62.75%,-206,67.32%,102.41%, -192,65.74%
55.00%, -122,102.41%,56.33%,-129,56.24%, -129,102.47%,57.63%, -136,St. Louis Blues,4,OT,18-Nov,,3,Vancouver Canucks,+123,44.84%,102.47%,+129,43.76%,+117,46.08%,102.41%,+122,45.00%
41.16%,+143,102.51%,42.19%,+137,43.95%,+128,102.49%,45.05%,+122,Boston Bruins,3,,18-Nov,,1,San Jose Sharks,-135,57.45%,102.49%, -128,56.05%,-152,60.32%,102.51%, -143,58.84%
46.21%,+116,102.55%,47.39%,+111,43.39%,+130,102.43%,44.44%,+125,New York Islanders,2,,19-Nov,,4,Carolina Hurricanes,-138,57.98%,102.43%, -130,56.61%,-123,55.16%,102.55%, -116,53.79%
36.28%,+176,102.45%,37.17%,+169,39.82%,+151,102.50%,40.82%,+145,Colorado Avalanche,4,OT,19-Nov,,3,Detroit Red Wings,-161,61.69%,102.50%, -151,60.18%,-188,65.28%,102.45%, -176,63.72%
42.42%,+136,102.49%,43.48%,+130,43.58%,+129,102.45%,44.64%,+124,Ottawa Senators,0,,19-Nov,,3,New York Rangers,-137,57.81%,102.45%, -129,56.42%,-144,59.02%,102.49%, -136,57.58%
50.00%,+100,102.44%,51.22%,-105,54.60%, -120,102.46%,55.95%, -127,Los Angeles Kings,2,,19-Nov,,4,Vegas Golden Knights,+115,46.51%,102.46%,+120,45.40%,-105,51.22%,102.44%,+100,50.00%
44.80%,+123,102.39%,45.87%,+118,44.33%,+126,102.54%,45.45%,+120,Florida Panthers,2,,19-Nov,,3,Anaheim Ducks,-133,57.08%,102.54%, -126,55.67%,-130,56.52%,102.39%, -123,55.20%
60.94%, -156,102.41%,62.41%,-166,59.33%, -146,102.45%,60.78%, -155,Columbus Blue Jackets,3,,20-Nov,,2,Buffalo Sabres,+140,41.67%,102.45%,+146,40.67%,+150,40.00%,102.41%,+156,39.06%
32.53%,+207,102.47%,33.33%,+200,33.34%,+200,102.38%,34.13%,+193,Arizona Coyotes,4,,20-Nov,,1,Toronto Maple Leafs,-215,68.25%,102.38%, -200,66.66%,-224,69.14%,102.47%, -207,67.47%
45.00%,+122,102.41%,46.08%,+117,43.03%,+132,102.39%,44.05%,+127,Calgary Flames,4,,20-Nov,,1,Washington Capitals,-140,58.33%,102.39%, -132,56.97%,-129,56.33%,102.41%, -122,55.00%
43.03%,+132,102.39%,44.05%,+127,43.03%,+132,102.39%,44.05%,+127,Winnipeg Jets,3,,20-Nov,,5,Nashville Predators,-140,58.33%,102.39%, -132,56.97%,-140,58.33%,102.39%, -132,56.97%
36.67%,+173,102.51%,37.59%,+166,39.21%,+155,102.42%,40.16%,+149,New Jersey Devils,4,OT,20-Nov,,3,Minnesota Wild,-165,62.26%,102.42%, -155,60.79%,-185,64.91%,102.51%, -173,63.33%
36.41%,+175,102.47%,37.31%,+168,35.74%,+180,102.50%,36.63%,+173,Anaheim Ducks,3,SO,20-Nov,,2,San Jose Sharks,-193,65.87%,102.50%, -180,64.26%,-187,65.16%,102.47%, -175,63.59%
39.06%,+156,102.41%,40.00%,+150,39.21%,+155,102.42%,40.16%,+149,Vancouver Canucks,5,,21-Nov,,2,Philadelphia Flyers,-165,62.26%,102.42%, -155,60.79%,-166,62.41%,102.41%, -156,60.94%
41.90%,+139,102.43%,42.92%,+133,43.03%,+132,102.39%,44.05%,+127,Edmonton Oilers,3,,21-Nov,,8,St. Louis Blues,-140,58.33%,102.39%, -132,56.97%,-147,59.51%,102.43%, -139,58.10%
40.67%,+146,102.45%,41.67%,+140,42.25%,+137,102.47%,43.29%,+131,Montreal Canadiens,1,,21-Nov,,3,Dallas Stars,-145,59.18%,102.47%, -137,57.75%,-155,60.78%,102.45%, -146,59.33%
58.44%, -141,102.39%,59.84%,-149,59.33%, -146,102.45%,60.78%, -155,Minnesota Wild,5,,22-Nov,,4,Buffalo Sabres,+140,41.67%,102.45%,+146,40.67%,+135,42.55%,102.39%,+141,41.56%
48.04%,+108,102.53%,49.26%,+103,48.84%,+105,102.38%,50.00%,+100,Edmonton Oilers,6,,22-Nov,,2,Detroit Red Wings,-110,52.38%,102.38%, -105,51.16%,-114,53.27%,102.53%, -108,51.96%
51.16%, -105,102.38%,52.38%,-110,53.06%, -113,102.41%,54.34%, -119,Toronto Maple Leafs,1,,22-Nov,SO,2,Florida Panthers,+108,48.08%,102.41%,+113,46.94%,+100,50.00%,102.38%,+105,48.84%
48.27%,+107,102.56%,49.50%,+102,47.60%,+110,102.48%,48.78%,+105,Boston Bruins,3,SO,22-Nov,,2,New Jersey Devils,-116,53.70%,102.48%, -110,52.40%,-113,53.05%,102.56%, -107,51.73%
41.16%,+143,102.51%,42.19%,+137,45.40%,+120,102.46%,46.51%,+115,Philadelphia Flyers,3,,22-Nov,OT,4,New York Islanders,-127,55.95%,102.46%, -120,54.60%,-152,60.32%,102.51%, -143,58.84%
32.87%,+204,102.42%,33.67%,+197,33.44%,+199,102.40%,34.25%,+192,Vancouver Canucks,5,,22-Nov,,2,Pittsburgh Penguins,-214,68.15%,102.40%, -199,66.56%,-220,68.75%,102.42%, -204,67.13%
43.39%,+130,102.43%,44.44%,+125,43.39%,+130,102.43%,44.44%,+125,Ottawa Senators,2,,22-Nov,,5,Washington Capitals,-138,57.98%,102.43%, -130,56.61%,-138,57.98%,102.43%, -130,56.61%
41.90%,+139,102.43%,42.92%,+133,46.21%,+116,102.55%,47.39%,+111,New York Rangers,6,,22-Nov,,1,Carolina Hurricanes,-123,55.16%,102.55%, -116,53.79%,-147,59.51%,102.43%, -139,58.10%
42.42%,+136,102.49%,43.48%,+130,41.16%,+143,102.51%,42.19%,+137,Calgary Flames,0,,22-Nov,OT,1,Columbus Blue Jackets,-152,60.32%,102.51%, -143,58.84%,-144,59.02%,102.49%, -136,57.58%
40.67%,+146,102.45%,41.67%,+140,39.98%,+150,102.52%,40.98%,+144,Chicago Blackhawks,2,,22-Nov,OT,3,Tampa Bay Lightning,-160,61.54%,102.52%, -150,60.02%,-155,60.78%,102.45%, -146,59.33%
34.88%,+187,102.38%,35.71%,+180,34.26%,+192,102.41%,35.09%,+185,Montreal Canadiens,2,,22-Nov,SO,3,Nashville Predators,-206,67.32%,102.41%, -192,65.74%,-200,66.67%,102.38%, -187,65.12%
51.96%, -108,102.53%,53.27%,-114,51.39%, -106,102.36%,52.61%, -111,Dallas Stars,0,,22-Nov,,3,Colorado Avalanche,+101,49.75%,102.36%,+106,48.61%,+103,49.26%,102.53%,+108,48.04%
54.80%, -121,102.44%,56.14%,-128,53.99%, -117,102.53%,55.36%, -124,San Jose Sharks,3,,22-Nov,,1,Arizona Coyotes,+112,47.17%,102.53%,+117,46.01%,+116,46.30%,102.44%,+121,45.20%
42.25%,+137,102.47%,43.29%,+131,41.00%,+144,102.49%,42.02%,+138,Vegas Golden Knights,4,,22-Nov,,2,Anaheim Ducks,-153,60.47%,102.49%, -144,59.00%,-145,59.18%,102.47%, -137,57.75%
43.95%,+128,102.49%,45.05%,+122,44.33%,+126,102.54%,45.45%,+120,Winnipeg Jets,1,,22-Nov,,2,Los Angeles Kings,-133,57.08%,102.54%, -126,55.67%,-135,57.45%,102.49%, -128,56.05%
52.18%, -109,102.51%,53.49%,-115,45.20%,+121,102.44%,46.30%,+116,Pittsburgh Penguins,3,,24-Nov,,4,Boston Bruins,-128,56.14%,102.44%, -121,54.80%,+104,49.02%,102.51%,+109,47.82%
51.16%, -105,102.38%,52.38%,-110,47.82%,+109,102.51%,49.02%,+104,Winnipeg Jets,4,,24-Nov,,1,Anaheim Ducks,-115,53.49%,102.51%, -109,52.18%,+100,50.00%,102.38%,+105,48.84%
34.88%,+187,102.38%,35.71%,+180,34.38%,+191,102.42%,35.21%,+184,Colorado Avalanche,2,,24-Nov,SO,3,Minnesota Wild,-205,67.21%,102.42%, -191,65.62%,-200,66.67%,102.38%, -187,65.12%
46.21%,+116,102.55%,47.39%,+111,45.20%,+121,102.44%,46.30%,+116,New York Islanders,5,,24-Nov,,4,Philadelphia Flyers,-128,56.14%,102.44%, -121,54.80%,-123,55.16%,102.55%, -116,53.79%
58.44%, -141,102.39%,59.84%,-149,52.40%, -110,102.48%,53.70%, -116,Tampa Bay Lightning,1,,24-Nov,,3,Washington Capitals,+105,48.78%,102.48%,+110,47.60%,+135,42.55%,102.39%,+141,41.56%
51.16%, -105,102.38%,52.38%,-110,59.00%, -144,102.49%,60.47%, -153,Edmonton Oilers,1,,24-Nov,,3,Buffalo Sabres,+138,42.02%,102.49%,+144,41.00%,+100,50.00%,102.38%,+105,48.84%
45.20%,+121,102.44%,46.30%,+116,44.60%,+124,102.37%,45.66%,+119,Vancouver Canucks,2,,24-Nov,,3,New Jersey Devils,-131,56.71%,102.37%, -124,55.40%,-128,56.14%,102.44%, -121,54.80%
39.82%,+151,102.50%,40.82%,+145,39.67%,+152,102.48%,40.65%,+146,Detroit Red Wings,1,,24-Nov,OT,2,New York Rangers,-162,61.83%,102.48%, -152,60.33%,-161,61.69%,102.50%, -151,60.18%
37.99%,+163,102.41%,38.91%,+157,40.67%,+146,102.45%,41.67%,+140,Ottawa Senators,2,,24-Nov,,5,Columbus Blue Jackets,-155,60.78%,102.45%, -146,59.33%,-174,63.50%,102.41%, -163,62.01%
51.16%, -105,102.38%,52.38%,-110,48.84%,+105,102.38%,50.00%,+100,Toronto Maple Leafs,5,,24-Nov,,4,Carolina Hurricanes,-110,52.38%,102.38%, -105,51.16%,+100,50.00%,102.38%,+105,48.84%
43.95%,+128,102.49%,45.05%,+122,44.33%,+126,102.54%,45.45%,+120,Nashville Predators,2,,24-Nov,,0,St. Louis Blues,-133,57.08%,102.54%, -126,55.67%,-135,57.45%,102.49%, -128,56.05%
53.06%, -113,102.41%,54.34%,-119,56.61%, -130,102.43%,57.98%, -138,Los Angeles Kings,2,,24-Nov,OT,3,Arizona Coyotes,+125,44.44%,102.43%,+130,43.39%,+108,48.08%,102.41%,+113,46.94%
46.21%,+116,102.55%,47.39%,+111,44.60%,+124,102.37%,45.66%,+119,Calgary Flames,4,,24-Nov,,6,Dallas Stars,-131,56.71%,102.37%, -124,55.40%,-123,55.16%,102.55%, -116,53.79%
55.00%, -122,102.41%,56.33%,-129,50.00%,+100,102.44%,51.22%, -105,San Jose Sharks,4,,24-Nov,OT,5,Vegas Golden Knights,-105,51.22%,102.44%,+100,50.00%,+117,46.08%,102.41%,+122,45.00%
45.40%,+120,102.46%,46.51%,+115,46.73%,+114,102.39%,47.85%,+109,Washington Capitals,4,,25-Nov,,2,Toronto Maple Leafs,-120,54.55%,102.39%, -114,53.27%,-127,55.95%,102.46%, -120,54.60%
36.03%,+178,102.42%,36.90%,+171,38.71%,+158,102.51%,39.68%,+152,Buffalo Sabres,0,,25-Nov,,3,Montreal Canadiens,-169,62.83%,102.51%, -158,61.29%,-190,65.52%,102.42%, -178,63.97%
48.27%,+107,102.56%,49.50%,+102,46.01%,+117,102.53%,47.17%,+112,New York Islanders,2,,25-Nov,,1,Ottawa Senators,-124,55.36%,102.53%, -117,53.99%,-113,53.05%,102.56%, -107,51.73%
46.52%,+115,102.37%,47.62%,+110,47.38%,+111,102.46%,48.54%,+106,New Jersey Devils,4,OT,25-Nov,,3,Detroit Red Wings,-117,53.92%,102.46%, -111,52.62%,-121,54.75%,102.37%, -115,53.48%
50.70%, -103,102.42%,51.92%,-108,48.04%,+108,102.53%,49.26%,+103,Chicago Blackhawks,4,,25-Nov,,1,Florida Panthers,-114,53.27%,102.53%, -108,51.96%,-102,50.50%,102.42%,+103,49.30%
53.79%, -116,102.55%,55.16%,-123,48.27%,+107,102.56%,49.50%,+102,Tampa Bay Lightning,2,,25-Nov,,5,Pittsburgh Penguins,-113,53.05%,102.56%, -107,51.73%,+111,47.39%,102.55%,+116,46.21%
52.62%, -111,102.46%,53.92%,-117,51.73%, -107,102.56%,53.05%, -113,Vegas Golden Knights,4,,25-Nov,,2,Arizona Coyotes,+102,49.50%,102.56%,+107,48.27%,+106,48.54%,102.46%,+111,47.38%
44.33%,+126,102.54%,45.45%,+120,38.71%,+158,102.51%,39.68%,+152,Minnesota Wild,3,,25-Nov,,6,St. Louis Blues,-169,62.83%,102.51%, -158,61.29%,-133,57.08%,102.54%, -126,55.67%
